"itemCode","itemValue"
"0001","Ther ult head & neck ves"
"0002","Ther ultrasound of heart"
"0003","Ther ult peripheral ves"
"0009","Other therapeutic ultsnd"
"0010","Implant chemothera agent"
"0011","Infus drotrecogin alfa"
"0012","Adm inhal nitric oxide"
"0013","Inject/infus nesiritide"
"0014","Injection oxazolidinone"
"0015","High-dose infusion il-2"
"0016","Pressurized treat graft"
"0017","Infusion of vasopressor"
"0018","INFUS IMMUNOSUP ANTIBODY"
"0019","BBBD via infusion"
"0021","Ivus extracran cereb ves"
"0022","Ivus intrathoracic ves"
"0023","Ivus peripheral vessels"
"0024","Ivus coronary vessels"
"0025","Ivus renal vessels"
"0028","Intravascul imaging NEC"
"0029","Intravascul imaging NOS"
"0031","CAS w CT/CTA"
"0032","CAS w MR/MRA"
"0033","CAS w fluoroscopy"
"0034","Imageless comp asst surg"
"0035","CAS w multiple datasets"
"0039","Other CAS"
"0040","PROCEDURE-ONE VESSEL"
"0041","PROCEDURE-TWO VESSELS"
"0042","PROCEDURE-THREE VESSELS"
"0043","PROCEDURE-FOUR+ VESSELS"
"0044","PROC-VESSEL BIFURCATION"
"0045","INSERT 1 VASCULAR STENT"
"0046","INSERT 2 VASCULAR STENTS"
"0047","INSERT 3 VASCULAR STENTS"
"0048","INSERT 4+ VASCULR STENTS"
"0049","SuperSat O2 therapy"
"0050","Impl CRT pacemaker sys"
"0051","Impl CRT defibrillat sys"
"0052","Imp/rep lead lf ven sys"
"0053","Imp/rep CRT pacemakr gen"
"0054","Imp/rep CRT defib genat"
"0055","Ins d-e stent oth periph"
"0056","INS/REP IMPL SENSOR LEAD"
"0057","IMP/REP SUBCUE CARD DEV"
"0058","Ins intra-ansm pres mntr"
"0059","Intravasc msmnt cor art"
"0060","Ins d-e stent supl fem a"
"0061","Perc angio precereb vess"
"0062","Perc angio intracran ves"
"0063","Perc ins carotid stent"
"0064","Perc ins precereb stent"
"0065","Perc ins intracran stent"
"0066","PTCA OR CORONARY ATHER"
"0067","Intravas msmnt thorc art"
"0068","Intravas msmt periph art"
"0069","Intravs msmt ves NEC/NOS"
"0070","REV HIP REPL-ACETAB/FEM"
"0071","REV HIP REPL-ACETAB COMP"
"0072","REV HIP REPL-FEM COMP"
"0073","REV HIP REPL-LINER/HEAD"
"0074","HIP REPL SURF-METAL/POLY"
"0075","HIP REP SURF-METAL/METAL"
"0076","HIP REP SURF-CERMC/CERMC"
"0077","HIP REPL SURF-CERMC/POLY"
