itemCode,itemValue,filterText
01,Gastrointestinal & Hepatobiliary System,
01A,"Antacids, Antireflux Agents & Antiulcerants",1
01B,"GIT Regulators, Antiflatulents & Anti-Inflammatories",1
01C,Antispasmodics,1
01D,Antidiarrheals,1
01E,"Laxatives, Purgatives",1
01F,Digestives,1
01G,"Cholagogues, Cholelitholytics & Hepatic Protectors",1
01H,Anorectal Preparations,1
01I,Antiemetics,1
01J,Other Gastrointestinal Drugs,1
02,Cardiovascular & Hematopoietic System,
02A,Cardiac Drugs,2
02B,Anti-Anginal Drugs,2
02C,ACE Inhibitors/Direct Renin Inhibitors,2
02D,Beta-Blockers,2
02E,Calcium Antagonists,2
02F,Angiotensin II Antagonists,2
02G,Other Antihypertensives,2
02H,Diuretics,2
02I,Antidiuretics,2
02J,Peripheral Vasodilators & Cerebral Activators,2
02K,Vasoconstrictors,2
02L,Dyslipidaemic Agents,2
02M,Haemostatics,2
02N,"Anticoagulants, Antiplatelets & Fibrinolytics (Thrombolytics)",2
02P,Phlebitis & Varicose Preparations,2
02Q,Haemorrheologicals,2
02R,Haematopoietic Agents,2
02S,Other Cardiovascular Drugs,2
03,Respiratory System,
03A,Respiratory Stimulants,3
03B,Antiasthmatic & COPD Preparations,3
03C,Cough & Cold Preparations,3
03D,Nasal Decongestants & Other Nasal Preparations,3
03E,Other Drugs Acting on the Respiratory System,3
04,Central Nervous System,
04A,Anxiolytics,4
04B,Hypnotics & Sedatives,4
04C,Antidepressants,4
04D,Antipsychotics,4
04E,Anticonvulsants,4
04F,Other CNS Drugs & Agents for ADHD,4
04G,Neurodegenerative Disease Drugs,4
04H,Antiparkinsonian Drugs,4
04I,Antivertigo Drugs,4
04J,Analgesics (Opioid),4
04K,Analgesics (Non-Opioid) & Antipyretics,4
04L,Nonsteroidal Anti-Inflammatory Drugs (NSAIDs),4
04M,Drugs for Neuropathic Pain,4
04N,Antimigraine Preparations,4
04P,Nootropics & Neurotonics/Neurotrophics,4
05,Musculo-Skeletal System,
05A,Disease-Modifying Anti-Rheumatic Drugs (DMARDs),5
05B,Hyperuricemia & Gout Preparations,5
05C,Muscle Relaxants,5
05D,Anti-Inflammatory Enzymes,5
05E,Neuromuscular Disorder Drugs,5
05F,Other Drugs Acting on Musculo-Skeletal System,5
06,Hormones,
06A,Androgens & Related Synthetic Drugs,6
06B,"Oestrogens, Progesterones & Related Synthetic Drugs",6
06C,Combined Sex Hormones,6
06D,Corticosteroid Hormones,6
06E,Trophic Hormones & Related Synthetic Drugs,6
06F,Anabolic Agents,6
06G,Other Drugs Affecting Hormonal Regulation,6
07,Contraceptive Agents,
07A,Oral Contraceptives,7
07B,Depot Contraceptives,7
07C,Other Contraceptives,7
08,Anti-Infectives (Systemic),
08A,Aminoglycosides,8
08B,Cephalosporins,8
08C,Penicillins,8
08D,Other Beta-Lactams,8
08E,Chloramphenicols,8
08F,Macrolides,8
08G,Quinolones,8
08H,Tetracyclines,8
