itemCode,itemValue,itemValueEN
ac,ก่อนอาหาร,before meals
pc,หลังอาหาร,after meals
hs,ก่อนนอน,before bedtime
pc+hs,หลังอาหารและก่อนนอน,after meals and before bedtime
ac-m,ก่อนอาหารเช้า,before breakfast
ac-n,ก่อนอาหารกลางวัน,before lunch
ac-e,ก่อนอาหารเย็น,before dinner
pc-m,หลังอาหารเช้า,after breakfast
pc-n,หลังอาหารกลางวัน,after lunch
pc-e,หลังอาหารเย็น,after dinner
0000,เวลา 0.00 น.,at 0.00 am
0100,เวลา 1.00 น.,at 1.00 am
0200,เวลา 2.00 น.,at 2.00 am
0300,เวลา 3.00 น.,at 3.00 am
0400,เวลา 4.00 น.,at 4.00 am
0500,เวลา 5.00 น.,at 5.00 am
0600,เวลา 6.00 น.,at 6.00 am
0700,เวลา 7.00 น.,at 7.00 am
0800,เวลา 8.00 น.,at 8.00 am
0900,เวลา 9.00 น.,at 9.00 am
1000,เวลา 10.00 น.,at 10.00 am
1100,เวลา 11.00 น.,at 11.00 am
1200,เวลา 12.00 น.,at 12.00 pm
1300,เวลา 13.00 น.,at 1.00 pm
1400,เวลา 14.00 น.,at 2.00 pm
1500,เวลา 15.00 น.,at 3.00 pm
1600,เวลา 16.00 น.,at 4.00 pm
1700,เวลา 17.00 น.,at 5.00 pm
1800,เวลา 18.00 น.,at 6.00 pm
1900,เวลา 19.00 น.,at 7.00 pm
2000,เวลา 20.00 น.,at 8.00 pm
2100,เวลา 21.00 น.,at 9.00 pm
2200,เวลา 22.00 น.,at 10.00 pm
2300,เวลา 23.00 น.,at 11.00 pm
