itemCode,Abbrev,itemValue,itemValueEN
001,ด.ช.,เด็กชาย,Master
002,ด.ญ.,เด็กหญิง,Miss
003,นาย,นาย,Mr.
004,น.ส.,นางสาว,Miss
005,นาง,นาง,Mrs.
006,น.ช.ม.ล.,นักโทษชายหม่อมหลวง,
007,น.ช.,นักโทษชาย,
008,น.ญ.,นักโทษหญิง,
009,น.ช.จ.ส.อ.,นักโทษชายจ่าสิบเอก,
010,น.ช.จ.อ.,นักโทษชายจ่าเอก,
011,น.ช.พลฯ.,นักโทษชายพลทหาร,
012,น.ช.ร.ต.,นักโทษชายร้อยตรี,
099,พระเจ้าหลานเธอ พระองค์เจ้า,พระเจ้าหลานเธอ พระองค์เจ้า,
100,พระบาทสมเด็จพระเจ้าอยู่หัว,พระบาทสมเด็จพระเจ้าอยู่หัว,
101,สมเด็จพระนางเจ้า,สมเด็จพระนางเจ้า,
102,สมเด็จพระศรีนครินทราบรมราชชนนี,สมเด็จพระศรีนครินทราบรมราชชนนี,
103,พลโทสมเด็จพระบรมโอรสาธิราช,พลโทสมเด็จพระบรมโอรสาธิราช,
104,พลตรีสมเด็จพระเทพรัตนราชสุดา,พลตรีสมเด็จพระเทพรัตนราชสุดา,
105,พระเจ้าวรวงศ์เธอพระองค์หญิง,พระเจ้าวรวงศ์เธอพระองค์หญิง,
106,พระเจ้าวรวงศ์เธอ พระองค์เจ้า,พระเจ้าวรวงศ์เธอ พระองค์เจ้า,
107,สมเด็จพระราชชนนี,สมเด็จพระราชชนนี,
108,สมเด็จพระเจ้าพี่นางเธอเจ้าฟ้า,สมเด็จพระเจ้าพี่นางเธอเจ้าฟ้า,
109,สมเด็จพระ,สมเด็จพระ,
110,สมเด็จพระเจ้าลูกเธอ,สมเด็จพระเจ้าลูกเธอ,
111,สมเด็จพระเจ้าลูกยาเธอ,สมเด็จพระเจ้าลูกยาเธอ,
112,สมเด็จเจ้าฟ้า,สมเด็จเจ้าฟ้า,
113,พระเจ้าบรมวงศ์เธอ,พระเจ้าบรมวงศ์เธอ,
114,พระเจ้าวรวงศ์เธอ,พระเจ้าวรวงศ์เธอ,
115,พระเจ้าหลานเธอ,พระเจ้าหลานเธอ,
116,พระเจ้าหลานยาเธอ,พระเจ้าหลานยาเธอ,
117,พระวรวงศ์เธอ,พระวรวงศ์เธอ,
118,สมเด็จพระเจ้าภคินีเธอ,สมเด็จพระเจ้าภคินีเธอ,
119,พระองค์เจ้า,พระองค์เจ้า,
120,ม.จ.,หม่อมเจ้า,
121,ม.ร.ว.,หม่อมราชวงศ์,
122,ม.ล.,หม่อมหลวง,
123,พระยา,พระยา,
124,หลวง,หลวง,
125,ขุน,ขุน,
126,หมื่น,หมื่น,
127,เจ้าคุณ,เจ้าคุณ,
128,พระวรวงศ์เธอพระองค์เจ้า,พระวรวงศ์เธอพระองค์เจ้า,
129,คุณ,คุณ,
130,คุณหญิง,คุณหญิง,
131,ท่านผู้หญิง ม.ล.,ท่านผู้หญิงหม่อมหลวง,
132,ศจ.น.พ.,ศาสตราจารย์นายแพทย์,
133,พ.ญ.คุณหญิง,แพทย์หญิงคุณหญิง,
134,น.พ.,นายแพทย์,
135,พ.ญ.,แพทย์หญิง,
136,ท.พ.,ทัณตแพทย์,
137,ท.ญ.,ทัณตแพทย์หญิง,
138,สพ.,สัตวแพทย์,
139,สญ.,สัตวแพทย์หญิง,
140,ดร.,ดอกเตอร์,
141,ผศ.,ผู้ช่วยศาสตราจารย์,
142,รศ.,รองศาสตราจารย์,
143,ศจ.,ศาสตราจารย์,
144,ภก.,เภสัชกรชาย,
145,ภญ.,เภสัชกรหญิง,
146,หม่อม,หม่อม,
147,รองอำมาตย์เอก,รองอำมาตย์เอก,
148,ท้าว,ท้าว,
149,เจ้า,เจ้า,
150,ท่านผู้หญิง,ท่านผู้หญิง,
151,คุณพระ,คุณพระ,
152,ศจ.คุณหญิง,ศาสตราจารย์คุณหญิง,
153,ซิสเตอร์,ซิสเตอร์,
