itemCode,itemValue
002,โปรตุเกส
003,ดัตช์
004,เยอรมัน
005,ฝรั่งเศส
006,เดนมาร์ก
007,สวีเดน
008,สวิส
009,อิตาลี
010,นอร์เวย์
011,ออสเตรีย
012,ไอริช
013,ฟินแลนด์
014,เบลเยียม
015,สเปน
016,รัสเซีย
017,โปแลนด์
018,เช็ก
019,ฮังการี
020,กรีก
021,ยูโกสลาฟ
022,ลักเซมเบิร์ก
023,วาติกัน
024,มอลตา
025,ลีซู
026,บัลแกเรีย
027,โรมาเนีย
028,ไซปรัส
029,อเมริกัน
030,แคนาดา
031,เม็กซิกัน
032,คิวบา
033,อาร์เจนตินา
034,บราซิล
035,ชิลี
036,อาข่า
037,โคลัมเบีย
038,ลั๊ว
039,เปรู
040,ปานามา
041,อุรุกวัย
042,เวเนซุเอลา
044,จีน
045,อินเดีย
046,เวียดนาม
047,ญี่ปุ่น
048,เมียนมา
049,ฟิลิปปิน
050,มาเลเซีย
051,อินโดนีเซีย
052,ปากีสถาน
053,เกาหลีใต้
054,สิงคโปร์
055,เนปาล
056,ลาว
057,กัมพูชา
058,ศรีลังกา
059,ซาอุดีอาระเบีย
060,อิสราเอล
061,เลบานอน
062,อิหร่าน
063,ตุรกี
064,บังกลาเทศ
065,ถูกถอนสัญชาติ
066,ซีเรีย
067,อิรัก
068,คูเวต
069,บรูไน
070,แอฟริกาใต้
071,กะเหรี่ยง
072,ลาหู่
073,เคนยา
074,อียิปต์
075,เอธิโอเปีย
076,ไนจีเรีย
077,สหรัฐอาหรับเอมิเรตส์
078,กินี
079,ออสเตรเลีย
080,นิวซีแลนด์
081,ปาปัวนิวกินี
082,ม้ง
083,เมี่ยน
086,จีนฮ่อ
087,"จีน (อดีตทหารจีนคณะชาติ ,อดีตทหารจีนชาติ)"
088,ผู้พลัดถิ่นสัญชาติพม่า
089,ผู้อพยพเชื้อสายจากกัมพูชา
090,ลาว (ลาวอพยพ)
091,เขมรอพยพ
096,ไร้สัญชาติ
097,อื่นๆ
098,ไม่ได้สัญชาติไทย
099,ไทย
100,อัฟกัน
101,บาห์เรน
102,ภูฏาน
103,จอร์แดน
104,เกาหลีเหนือ
105,มัลดีฟ
106,มองโกเลีย
107,โอมาน
108,กาตาร์
109,เยเมน
111,หมู่เกาะฟิจิ
112,คิริบาส
113,นาอูรู
114,หมู่เกาะโซโลมอน
115,ตองก้า
116,ตูวาลู
117,วานูอาตู
118,ซามัว
119,แอลเบเนีย
120,อันดอร์รา
122,ไอซ์แลนด์
123,ลิกเตนสไตน์
124,โมนาโก
125,ซานมารีโน
126,"บริติช  (อังกฤษ, สก็อตแลนด์)"
127,แอลจีเรีย
128,แองโกลา
129,เบนิน
130,บอตสวานา
131,บูร์กินาฟาโซ
132,บุรุนดี
133,แคเมอรูน
134,เคปเวิร์ด
135,แอฟริกากลาง
136,ชาด
137,คอโมโรส
138,คองโก
139,ไอโวเรี่ยน
140,จิบูตี
141,อิเควทอเรียลกินี
142,กาบอง
143,แกมเบีย
144,กานา
145,กินีบีสเซา
146,เลโซโท
147,ไลบีเรีย
148,ลิเบีย
149,มาลากาซี
150,มาลาวี
151,มาลี
152,มอริเตเนีย
153,มอริเชียส
154,โมร็อกโก
155,โมซัมบิก
156,ไนเจอร์
157,รวันดา
158,เซาโตเมและปรินซิเป
159,เซเนกัล
160,เซเชลส์
161,เซียร์ราลีโอน
162,โซมาลี
163,ซูดาน
164,สวาซี
165,แทนซาเนีย
166,โตโก
167,ตูนิเซีย
168,ยูกันดา
169,ซาอีร์
170,แซมเบีย
171,ซิมบับเว
172,แอนติกาและบาร์บูดา
173,บาฮามาส
174,บาร์เบโดส
175,เบลิซ
176,คอสตาริกา
177,โดมินิกา
178,โดมินิกัน
179,เอลซัลวาดอร์
180,เกรเนดา
181,กัวเตมาลา
182,เฮติ
183,ฮอนดูรัส
184,จาเมกา
185,นิการากัว
186,เซนต์คิตส์และเนวิส
187,เซนต์ลูเซีย
188,เซนต์วินเซนต์และเกรนาดีนส์
189,ตรินิแดดและโตเบโก
190,โบลีเวีย
191,เอกวาดอร์
192,กายอานา
193,ปารากวัย
194,ซูรินาเม
195,อาหรับ
196,คะฉิ่น
197,ว้า
198,ไทยใหญ่
199,ไทยลื้อ
200,ขมุ
201,ตองสู
203,ละว้า
205,ปะหร่อง
206,ถิ่น
207,ปะโอ
208,มอญ
209,มลาบรี
212,จีน (จีนฮ่ออิสระ)
214,จีน (จีนฮ่ออพยพ)
216,ยูเครน
219,จีน(ฮ่องกง)
220,จีน(ไต้หวัน)
221,โครเอเชีย
223,คาซัค
